Device Make,Device Model,Popular
Fly,E140,0
Fly,E146,0
Fly,E155,0
Fly,E170,0
Fly,E171,0
Fly,E190,0
Fly,E300,0
Fly,HT1/ HUMMER HT1,0
Fly,LX500,0
Fly,LX600/Mega,0
Fly,LX610,0
Fly,MC150ds,0
Fly,MC170DS,0
Fly,MC180,0
Fly,MC220,0
Fly,MP600,0
Fly,MX200i,0
Fly,MX230,0
Fly,MX300,0
Fly,SL130,0
Fly,SL500m,0
Fly,SL600,0
Fly,SLT100,0
Fly,SX100,0
Fly,SX200,0
Fly,SX210,0
Fly,SX225,0
Fly,SX230,0
Fly,SX240,0
Fly,SX300,0
Fly,SX305,0
Fly,SX315,0
Fly,SX390,0
Fly,Touch 2,0
Fly,V120,0
Fly,V71,0
Foston,FS-M74TG,0
FPT,Tablet,0
Freescale,imx51,0
Fujitsu,F-07C,0
Fujitsu,F-10C,0
Fujitsu,F-11C,0
Fujitsu,F-12C,0
Fujitsu,F001,0
Fujitsu,F503i,0
Fujitsu,F702iD,0
Fujitsu,F703i,0
Fujitsu,F883i,0
Fujitsu,F900i,0
Fujitsu,F900iC,0
Fujitsu,F900iT,0
Fujitsu,F902i,0
Fujitsu,F902iS,0
Fujitsu,F903i,0
Fujitsu,F903iX,0
Fujitsu,F904i,0
Fujitsu,IS11T/REGZA Phone IS11T,0
Fujitsu,T-01C,0
Fujitsu,T-01C/REGZA Phone T-01C,0
GADMEI,T820,0
Garmin-Asus,A10,0
Garmin-Asus,A50,0
Garmin-Asus,M10,0
Garmin-Asus,nuvifone G60,0
GeeksPhone,ZERO,0
Gemei,G2,0
Gigabyte,Boston,0
Gigabyte,g-Smart,0
Gigabyte,G1310,0
Gigabyte,G1315,0
Gigabyte,G1345,0
GIGABYTE,GSmart G1317D,0
Gigabyte,MS800,0
Gigabyte,T600,0
Gionee,A10,0
Gionee,A280,0
Gionee,D001,0
Gionee,F6,0
Gionee,GN105,0
Gionee,GN205,0
Gionee,GN380,0
Gionee,I9,0
Gionee,L10,0
Gionee,L6,0
Gionee,L7,0
Gionee,V500,0
Global High Tech,PIANO,0
GOCLEVER,Tab A73,0
Gome,Disco10 FlyTouch 3,0
Google,Nexus S/Samsung Nexus S,0
Gradiente,GF500,0
Grameenphone,Crystal,0
Grameenphone,Q100,0
Grundig,G402i,0
Grundig,G410i,0
Haier,1200P,0
Haier,Double Z702/Dual Sim Card,0
Haier,G3,0
Haier,HG V70,0
Haier,HTIL V70,0
Haier,HTIL-S210,0
Haier,T10C,0
Haier,v100,0
Handspring,Treo 600,0
Handspring,Treo 650,0
Handspring,Treo 680,0
HannStar,Hannspad SN101T1,0
HEDY,H797,0
HEDY,M881,0
HengTong World,HT-10A01,0
Hisense,C1110,0
Hisense,U8,0
Hitachi,C201H,0
Hitachi,C3001H,0
Hitachi,H001,0
Hitachi,W32H,0
HKPhone,H7,0
HKPhone,H8,0
Housin,U3,0
HP,AD350,0
HP,eStation,0
HP,iPAQ 510/Voice Messenger,0
HP,iPAQ 610,0
HP,iPAQ 910,0
HP,iPAQ Data Messenger,0
HP,iPAQ H6300 series,0
HP,iPAQ hw6500,0
HP,iPAQ hw6900,0
HP,iPAQ hw692x,0
HP,iPAQ KB1,0
HP,iPAQ rw6800,0
HP,iPAQ rw6815,0
HP,iPAQ Voice Messenger,0
HP,P160UNA,0
HP,Pre3,0
HP,TouchPad,0
HP,TouchPad 7-inch,0
HP,Veer,0
HTC,001HT,0
HTC,2125/Faraday,0
HTC,6175,1
HTC,6277,1
HTC,6850,0
HTC,6850 Touch Pro,1
HTC,7 Mozart,1
HTC,7 Pro Arrive,1
HTC,7 Trophy,1
HTC,8100,0
HTC,8900a,0
HTC,8900b,0
HTC,A3335,1
HTC,A510b,0
HTC,A510c,1
HTC,A6366/Aria,1
HTC,A6380/Aria,1
HTC,A810b,1
HTC,A810e/ChaCha,1
HTC,A8183,1
HTC,A9188,0
HTC,A9192,1
HTC,ADR6225/Wildfire,1
HTC,ADR6330,1
HTC,ADR6350,1
HTC,ADR6350/Droid Incredible 2,1
HTC,ADR6425,1
HTC,Amaze 4G,1
HTC,Android Dev Phone 1,0
HTC,Apache,0
HTC,Arrive,0
HTC,Artist,0
HTC,Athena,0
HTC,Bahamas,1
HTC,Bravo,0
HTC,Bravo C,1
HTC,Buzz,0
HTC,C110e/Omega,0
HTC,C110E/Radar,1
HTC,ChaCha,0
HTC,ChaCha A810e,0
HTC,Cingular-3100,0
HTC,Cleo,0
HTC,Dash,0
HTC,Dash 3G (Maple),1
HTC,Desire,1
HTC,Desire ADR6200,1
HTC,Desire CDMA,1
HTC,Desire HD,1
HTC,Desire S,1
HTC,Desire Z,1
HTC,DoCoMo 03A,1
HTC,DoCoMo Pro Series HT-02A,0
HTC,Dream,1
HTC,Droid Eris,1
HTC,Droid Incredible,1
HTC,Elfin,0
HTC,Endavor,0
HTC,Espresso,1
HTC,Evo,1
HTC,EVO 3D,1
HTC,Evo 4G,1
HTC,Evo 4G Plus,0
HTC,Evo Design 4G,1
HTC,Evo Shift 4G,1
HTC,Evo WiMax ISW11HT,1
HTC,Excalibur,0
HTC,Explorer,1
HTC,F5151/Freestyle,1
HTC,Flyer P512,1
HTC,Gemini,0
HTC,Gene,0
HTC,Glacier,1
HTC,Golf,0
HTC,Gratia,1
HTC,HD Mini,1
HTC,HD2 T8585,1
HTC,HD7,1
HTC,Herald,0
HTC,Hermes,0
HTC,Hero,1
HTC,Hero 200,1
HTC,HTC-T8788,1
HTC,HTC_SensationXE_Beats_Z715e,1
HTC,HTC_SensationXL_Beats,0
HTC,HTC_Snap_S526,0
HTC,Incredible HD,1
HTC,Incredible S,1
HTC,Inspire,1
HTC,Inspire 4G,0
HTC,Inspire HD,0
HTC,Jade,0
HTC,Jade (Vodafone),0
HTC,Juno,0
HTC,Kaiser,0
HTC,Kingdom,0
HTC,Legend,1
HTC,Lexikon Merge ADR6325,1
HTC,Liberty,1
HTC,Love,0
HTC,Magic,1
HTC,Marvel,0
HTC,MDA Compact,0
HTC,MDA compact II,0
HTC,MDA compact III,0
HTC,MDA Pro,0
HTC,MDA-Vario,0
HTC,MDA-Vario-II,0
HTC,Mega,0
HTC,MP6950 Diamond,0
HTC,mwp6985,0
HTC,Nexus One,1
HTC,O2 XDA2Mini,0
HTC,O2-XDAIIi,0
HTC,One S,1
HTC,One V,1
HTC,One X,1
HTC,One XL,0
HTC,P3300,0
HTC,P3301/Artemis,0
HTC,P3400i (Gene),0
HTC,P3450,1
HTC,P3451/Touch/Elf,0
HTC,P3490,0
HTC,P3600i,0
HTC,P3650,1
HTC,P3651,0
HTC,P3700,0
HTC,P3702/Touch Diamond/Victor,0
HTC,P4350,0
HTC,P4351/Herald/Wing/Atlas,0
HTC,P4550,0
HTC,P4600,0
HTC,P510e Flyer,1
HTC,P515E,0
HTC,P5310BM,0
HTC,P5500,0
HTC,P5530 (Neon),0
HTC,P5800/Libra,0
HTC,P6300/Panda,0
HTC,P6500,0
HTC,Panache,1
HTC,PB99400/Incredible,1
HTC,PC36100,1
HTC,PC93100,0
HTC,PD67100,0
HTC,PG06100,1
HTC,PG09410,0
HTC,PG41200/Evo View 4G,1
HTC,PG762,1
HTC,PH06130,0
HTC,PH39100,1
HTC,PH44100,1
HTC,Pharos,0
HTC,PI39100,0
HTC,PPC6600,0
HTC,PPC6800,0
HTC,PPC6800/Mogul,0
HTC,PPC6850BM,0
HTC,PPC6900,0
HTC,Prophet,0
HTC,Qtek-8500,0
HTC,Qtek-S200,0
HTC,QTEK9000,0
HTC,Rhodium,1
HTC,Rhyme/Bliss,1
HTC,Runnymede,0
HTC,S310,0
HTC,S31HT,0
HTC,S411 (Brazil),0
HTC,S510e,1
HTC,S511 (Snap),1
HTC,S521/Snap,0
HTC,S522,0
HTC,S523,0
HTC,S620,0
HTC,S621,0
HTC,S630,0
HTC,S6356/Pure,0
HTC,S710,0
HTC,S710d,1
HTC,S710e,0
HTC,S730,0
HTC,S740,0
HTC,Salsa,1
HTC,Schubert,0
HTC,SDA,0
HTC,Sensation,1
HTC,Sensation 4G,1
HTC,Smart,1
HTC,Snap,0
HTC,Spark/7 Trophy,1
HTC,Sprint-PPC-6700,0
HTC,SPV C550,0
HTC,SPV M3000,0
HTC,SPV-C700,0
HTC,SPV-M650,0
HTC,ST7377/Tilt 2,1
HTC,Status,1
HTC,Surround,0
HTC,T5353/Touch Diamond2,1
HTC,T5360/Touch Diamond 2,0
HTC,T7379,0
HTC,T7380/TouchFLO,1
HTC,T7381,0
HTC,T7385 Touch Pro,0
HTC,T7385 Touch Pro2,0
HTC,T7576/Arrive/7 Pro,0
HTC,T8697/Mozart,0
HTC,T8788,0
HTC,T9193,0
HTC,T9292/HD7,1
HTC,T9295/HD7,1
HTC,T9296,0
HTC,Tattoo,1
HTC,Titan II,0
HTC,Tornado,0
HTC,Touch,0
HTC,Touch 3G T3232,0
HTC,Touch Cruise (T4242),0
HTC,Touch Cruise/P3650,0
HTC,Touch Diamond,0
